GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JacocoDemo,com.cloudsmartz.JacocoDemo,StudyGroup,0,41,0,0,0,12,0,6,0,6
JacocoDemo,com.cloudsmartz.JacocoDemo,Student,3,18,0,0,1,7,1,3,1,3
